language,domain,task,loc,noise,halstead
SQL,biomedical,T1,8,0.0538,1899.9
SQL,biomedical,T2,11,0.1064,2490.4
SQL,biomedical,T3,26,0.1091,15315.2
SQL,biomedical,T4,1,0.0526,31.0
SQL,high-energy-physics,T2,4,0.0516,1199.0
SQL,high-energy-physics,T3-1,3,0.0972,524.2
SQL,high-energy-physics,T3-2,6,0.1887,4128.6
SQL,high-energy-physics,T4,1,0.0238,85.6
SQL,organic-polymer,T1,6,0.0873,3373.3
SQL,organic-polymer,T2,4,0.0833,843.9
SQL,organic-polymer,T3,7,0.0961,3262.3
SQL,organic-polymer,T4,2,0.0556,133.2
SQL,stainless-steel,T1-1,20,0.0647,10543.9
SQL,stainless-steel,T1-2,5,0.0785,565.7
SQL,stainless-steel,T3,9,0.0796,3687.2
SQL,stainless-steel,T4,1,0.0333,12.0
OQL,biomedical,T1,11,0.0521,651.6
OQL,biomedical,T2,9,0.0984,1003.1
OQL,biomedical,T3,19,0.0882,7507.0
OQL,biomedical,T4,1,0.0345,4.0
OQL,high-energy-physics,T2,7,0.1846,8512.3
OQL,high-energy-physics,T3-1,3,0.1209,1250.9
OQL,high-energy-physics,T3-2,5,0.1907,5666.1
OQL,high-energy-physics,T4,5,0.2273,3976.2
OQL,organic-polymer,T1,8,0.2623,13721.7
OQL,organic-polymer,T2,4,0.0784,725.6
OQL,organic-polymer,T3,7,0.0988,3548.5
OQL,organic-polymer,T4,5,0.2,3976.2
OQL,stainless-steel,T1-1,9,0.0649,1592.1
OQL,stainless-steel,T1-2,5,0.249,5404.6
OQL,stainless-steel,T3,6,0.087,695.1
OQL,stainless-steel,T4,1,0.1286,99.0
MQL,biomedical,T1,1,0.1429,31.0
MQL,biomedical,T2,3,0.2063,145.3
MQL,biomedical,T3,48,0.2706,12210.9
MQL,biomedical,T4,1,0.1379,36.2
MQL,high-energy-physics,T2,8,0.3736,6850.2
MQL,high-energy-physics,T3-1,5,0.3118,2288.3
MQL,high-energy-physics,T3-2,10,0.3698,6350.0
MQL,high-energy-physics,T4,7,0.4145,7276.0
MQL,organic-polymer,T1,6,0.2792,4218.7
MQL,organic-polymer,T2,7,0.2157,850.7
MQL,organic-polymer,T3,25,0.249,5268.7
MQL,organic-polymer,T4,7,0.2852,3112.4
MQL,stainless-steel,T1-1,1,0.125,31.0
MQL,stainless-steel,T1-2,6,0.2691,2425.0
MQL,stainless-steel,T3,14,0.2415,5720.0
MQL,stainless-steel,T4,1,0.1333,36.2
N1QL,biomedical,T1,1,0.1111,44.9
N1QL,biomedical,T2,8,0.1304,1050.8
N1QL,biomedical,T3,22,0.1268,10464.9
N1QL,biomedical,T4,1,0.1,44.9
N1QL,high-energy-physics,T2,6,0.1671,13738.1
N1QL,high-energy-physics,T3-1,4,0.1368,1945.8
N1QL,high-energy-physics,T3-2,7,0.1901,9692.0
N1QL,high-energy-physics,T4,2,0.141,835.0
N1QL,organic-polymer,T1,5,0.0625,1961.1
N1QL,organic-polymer,T2,5,0.0899,1706.2
N1QL,organic-polymer,T3,12,0.0883,13676.5
N1QL,organic-polymer,T4,5,0.0793,4813.1
N1QL,stainless-steel,T1-1,1,0.1,44.9
N1QL,stainless-steel,T1-2,5,0.11,1948.5
N1QL,stainless-steel,T3,6,0.1264,4490.4
N1QL,stainless-steel,T4,1,0.098,44.9
XQuery,biomedical,T1,1,0.2,38.8
XQuery,biomedical,T2,9,0.2044,1865.3
XQuery,biomedical,T3,16,0.2035,19815.2
XQuery,biomedical,T4,1,0.1667,38.8
XQuery,high-energy-physics,T2,1,0.2308,416.9
XQuery,high-energy-physics,T3-1,4,0.2667,4615.6
XQuery,high-energy-physics,T3-2,5,0.2818,6853.4
XQuery,high-energy-physics,T4,2,0.1884,624.4
XQuery,organic-polymer,T1,3,0.2857,3482.9
XQuery,organic-polymer,T2,9,0.2568,6535.6
XQuery,organic-polymer,T3,11,0.2476,15295.3
XQuery,organic-polymer,T4,2,0.177,1706.6
XQuery,stainless-steel,T1-1,1,0.1667,38.8
XQuery,stainless-steel,T1-2,3,0.2468,3499.6
XQuery,stainless-steel,T3,6,0.137,5122.7
XQuery,stainless-steel,T4,1,0.1613,38.8
JSONiq,biomedical,T1,2,0.3438,616.0
JSONiq,biomedical,T2,3,0.2043,398.5
JSONiq,biomedical,T3,17,0.1964,11545.8
JSONiq,biomedical,T4,2,0.2788,1361.4
JSONiq,high-energy-physics,T2,8,0.3396,6849.3
JSONiq,high-energy-physics,T3-1,4,0.2549,3061.9
JSONiq,high-energy-physics,T3-2,7,0.2621,6033.5
JSONiq,high-energy-physics,T4,4,0.3262,3365.1
JSONiq,organic-polymer,T1,5,0.2008,3993.0
JSONiq,organic-polymer,T2,9,0.1805,2846.9
JSONiq,organic-polymer,T3,12,0.172,6548.4
JSONiq,organic-polymer,T4,6,0.252,4512.5
JSONiq,stainless-steel,T1-1,1,1.0,0.0
JSONiq,stainless-steel,T1-2,4,0.1845,2348.9
JSONiq,stainless-steel,T3,6,0.1755,5183.8
JSONiq,stainless-steel,T4,3,0.1562,256.3
DCQL,biomedical,T1,6,0.1198,1203.3
DCQL,biomedical,T2,3,0.0962,649.0
DCQL,biomedical,T3,12,0.1869,11437.7
DCQL,biomedical,T4,1,0.0,4.8
DCQL,high-energy-physics,T2,2,0.0769,239.9
DCQL,high-energy-physics,T3-1,3,0.1261,1558.9
DCQL,high-energy-physics,T3-2,6,0.1176,1986.8
DCQL,high-energy-physics,T4,2,0.0465,54.0
DCQL,organic-polymer,T1,2,0.0,56.1
DCQL,organic-polymer,T2,3,0.0473,781.9
DCQL,organic-polymer,T3,5,0.1081,1469.6
DCQL,organic-polymer,T4,2,0.0182,27.1
DCQL,stainless-steel,T1-1,11,0.1263,4393.1
DCQL,stainless-steel,T1-2,2,0.0,82.5
DCQL,stainless-steel,T3,6,0.0462,689.6
DCQL,stainless-steel,T4,1,0.0,4.8
